algorithm	topk	visited	nb_entities	nb_individuals	nb_attr_entities	nb_attr_individuals	sigma_entities	sigma_individuals	sigma_quality	nb_dims_agg	Outcomes_covered	nb_patterns	timespent
dsc	50	968916.0	50000	50000	2	2	40	10	0.2	0	19084.0	50.0	952.4791579246521
debunk	50	4925411.0	50000	50000	3	2	40	10	0.2	0	478897.59	11531.0	3111.1609301567078
dsc	50	1929936.0	50000	50000	3	2	40	10	0.2	0	19084.0	50.0	1370.8200900554657
debunk	50	407660.0	50000	50000	1	3	40	10	0.2	0	414609.92	2578.0	287.8406798839569
dsc	50	205186.0	50000	50000	1	3	40	10	0.2	0	13099.0	50.0	989.66814494133
debunk	50	5611195.0	50000	50000	2	3	40	10	0.2	0	425602.92	12199.0	2757.759218931198
dsc	50	1791364.0	50000	50000	2	3	40	10	0.2	0	15873.0	50.0	1723.0047290325165
debunk	50	10185030.0	50000	50000	3	3	40	10	0.2	0	411035.89	17100.0	6820.8473489284515
dsc	50	3620057.0	50000	50000	3	3	40	10	0.2	0	15873.0	50.0	2467.348363161087
debunk	50	29572.0	50000	50000	1	1	40	10	0.4	0	157492.41	234.0	53.83785605430603
dsc	50	28624.0	50000	50000	1	1	40	10	0.4	0	33539.0	50.0	115.67246294021606
debunk	50	358638.0	50000	50000	2	1	40	10	0.4	0	172284.64	994.0	162.90015387535095
dsc	50	292409.0	50000	50000	2	1	40	10	0.4	0	19733.0	50.0	227.18973088264465
debunk	50	691347.0	50000	50000	3	1	40	10	0.4	0	188545.54	1337.0	293.2322769165039
dsc	50	586710.0	50000	50000	3	1	40	10	0.4	0	29040.0	50.0	349.4358768463135
debunk	50	163494.0	50000	50000	1	2	40	10	0.4	0	199932.71	542.0	126.77540898323059
dsc	50	112020.0	50000	50000	1	2	40	10	0.4	0	28640.0	50.0	581.0958700180054
debunk	50	2148688.0	50000	50000	2	2	40	10	0.4	0	238776.31	2247.0	767.341236114502
dsc	50	967275.0	50000	50000	2	2	40	10	0.4	0	19084.0	50.0	956.6329090595245
debunk	50	4011609.0	50000	50000	3	2	40	10	0.4	0	260307.22	3121.0	1532.4363861083984
dsc	50	1929242.0	50000	50000	3	2	40	10	0.4	0	19084.0	50.0	1365.3547451496124
debunk	50	320641.0	50000	50000	1	3	40	10	0.4	0	181075.44	701.0	200.45992183685303
dsc	50	203820.0	50000	50000	1	3	40	10	0.4	0	13099.0	50.0	982.1027188301086
debunk	50	4196942.0	50000	50000	2	3	40	10	0.4	0	212717.91	2925.0	1457.2321591377258
dsc	50	1789650.0	50000	50000	2	3	40	10	0.4	0	15873.0	50.0	1728.1093261241913
debunk	50	7820355.0	50000	50000	3	3	40	10	0.4	0	238710.55	4127.0	2948.3333740234375
dsc	50	3619363.0	50000	50000	3	3	40	10	0.4	0	15873.0	50.0	2481.5426919460297
debunk	50	7820355.0	50000	50000	1	1	40	10	0.6	0	238710.55	4127.0	33.67829084396362
dsc	50	26182.0	50000	50000	1	1	40	10	0.6	0	15485.0	24.0	117.38287091255188
debunk	50	267450.0	50000	50000	2	1	40	10	0.6	0	24710.92	62.0	131.6495921611786
dsc	50	274324.0	50000	50000	2	1	40	10	0.6	0	19733.0	50.0	223.3770580291748
debunk	50	558533.0	50000	50000	3	1	40	10	0.6	0	33924.71	71.0	244.33459401130676
dsc	50	566212.0	50000	50000	3	1	40	10	0.6	0	29040.0	50.0	344.1370780467987
debunk	50	558533.0	50000	50000	1	2	40	10	0.6	0	33924.71	71.0	82.15661597251892
dsc	50	101526.0	50000	50000	1	2	40	10	0.6	0	28640.0	50.0	567.1170220375061
debunk	50	1136011.0	50000	50000	2	2	40	10	0.6	0	80206.0	128.0	482.0392060279846
dsc	50	902442.0	50000	50000	2	2	40	10	0.6	0	19084.0	50.0	943.5661399364471
debunk	50	2328027.0	50000	50000	3	2	40	10	0.6	0	118248.88	177.0	1022.1233930587769
dsc	50	1861156.0	50000	50000	3	2	40	10	0.6	0	19084.0	50.0	1576.4794681072235
debunk	50	2328027.0	50000	50000	1	3	40	10	0.6	0	118248.88	177.0	159.15639090538025
dsc	50	191512.0	50000	50000	1	3	40	10	0.6	0	13099.0	50.0	1137.2147808074951
debunk	50	2197999.0	50000	50000	2	3	40	10	0.6	0	72845.62	175.0	1009.7924900054932
dsc	50	1705983.0	50000	50000	2	3	40	10	0.6	0	15873.0	50.0	1938.0144090652466
