quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	1000.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	1011457.0	80871.0	80871.0	9	8.05	377.02	390.82
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	500.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	1888683.0	137223.0	137223.0	14	7.88	426.7	440.35
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	200.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	7850891.0	624002.0	624002.0	191	7.87	621.06	634.71
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	100.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	16158859.0	1241967.0	1241967.0	448	7.89	786.91	800.6
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	20.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	148427866.0	5915528.0	5915528.0	4153	7.88	2464.67	2478.41
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	310255909.0	13163422.0	13163422.0	11653	7.93	8925.29	8939.07

