quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	100.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	153321826.0	10492865.0	10492865.0	630	8.06	1724.49	1738.58
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	50.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	200386895.0	11678944.0	11678944.0	1306	7.91	2032.35	2046.17
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	25.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	245244443.0	12533437.0	12533437.0	2387	7.92	2462.55	2476.34
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	15.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	274268033.0	12964808.0	12964808.0	3762	7.92	3118.41	3132.21
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	10.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	293130954.0	13170178.0	13170178.0	6046	7.94	4281.92	4295.74
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	310255909.0	13163422.0	13163422.0	11653	7.93	8925.29	8939.07
