quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	1	20	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	194339.0	30946.0	30946.0	6	0.32	4.02	4.36
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	20558928.0	18475116.0	18475116.0	97	0.08	1095.48	1095.58
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	1	20	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	174210.0	30568.0	30568.0	6	0.09	2.56	2.66
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	4218894.0	3893522.0	3889688.0	97	0.09	122.58	122.68
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	1	20	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	81759.0	26504.0	26504.0	6	0.09	2.02	2.12
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	2229894.0	2169544.0	2169541.0	97	0.08	84.8	84.9
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	1	20	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB2	True	True	False	36000	2	48333.0	21206.0	21206.0	6	0.09	1.93	2.03
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB2	True	True	False	36000	2	1252798.0	1223364.0	1223364.0	97	0.08	75.7	75.8
