quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	100	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	403423.0	131170.0	129493.0	0	15.59	503.71	519.3
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	250	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	1084600.0	232751.0	226253.0	0	15.19	603.55	618.74
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	400	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	2135004.0	426715.0	418212.0	0	15.26	692.12	707.38
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	700	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	2567509.0	569356.0	557454.0	0	15.27	724.25	739.52
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1000	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	3305932.0	714116.0	700464.0	0	15.31	784.74	800.05
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1204	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	3755849.0	780421.0	763858.0	0	14.7	825.77	840.47
