quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1204	3	16	0.5	50.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	3755849.0	780421.0	763858.0	0	15.04	789.74	804.79
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1204	3	16	0.5	50.0	2.0	2.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	1939629.0	416040.0	407398.0	0	14.73	455.21	469.94
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1204	3	16	0.5	50.0	4.0	4.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	195524.0	46652.0	45824.0	0	14.87	69.04	83.91
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1204	3	16	0.5	50.0	8.0	8.0	127162	18	18	18	745242	DSC+CLOSED+UB2	True	True	False	36000	2	9863.0	2680.0	2637.0	0	14.79	14.44	29.24
